Distribution,Parameter,MeanSkewness,RMSE
Chi-Squared,df = 1,0.414767969719887,0.0541373515898955
Chi-Squared,df = 2,0.242907726146821,0.0423487417323171
Chi-Squared,df = 3,0.220472330477427,0.0393037978406146
Chi-Squared,df = 4,0.186023433656341,0.0426916559385357
Chi-Squared,df = 6,0.118642477366554,0.0268190075662929
Chi-Squared,df = 8,0.128670242238281,0.0405355503379804
Chi-Squared,df = 12,0.092005728836292,0.0209362853508731
Chi-Squared,df = 16,0.0742362381535024,0.0537919374878485
Chi-Squared,df = 24,0.066380977045933,0.0646486018539187
Chi-Squared,df = 32,0.0622024513021371,0.0677021754800316
Chi-Squared,df = 48,0.0540403584047591,0.123318264201822
Chi-Squared,df = 64,0.0377313090117976,0.0339922739778139
Weibull,shape = 0.5,0.570196919692901,0.0422319108131348
Weibull,shape = 1.0,0.259085785797728,0.0531181053804667
Weibull,shape = 1.5,0.137602159552624,0.04450346329606
Weibull,shape = 2.0,0.0737756850394471,0.0483731702405812
Weibull,shape = 3.0,0.00143358444275937,0.0511107532642154
Weibull,shape = 5.0,-0.0354543879656368,0.0393950018391833
Weibull,shape = 10.0,-0.0850311010620921,0.066983213566927
Log-normal,sigma = 0.10,0.026758634493097,0.0325059723567742
Log-normal,sigma = 0.25,0.0733535509716484,0.0344021766577959
Log-normal,sigma = 0.50,0.151732385655402,0.0607084308537144
Log-normal,sigma = 0.75,0.268223803490161,0.0712365286870336
Log-normal,sigma = 1.00,0.3070331983396,0.0556493938340026
Log-normal,sigma = 1.50,0.437738309523854,0.0838753325523557
Log-normal,sigma = 2.00,0.573211991339517,0.126083856175156
